Generation24,0.567721,0.56834,0.491582,0.406147,0.563161,0.566674,0.568041,0.564472,0.56729,0.566603,0.567207,0.566361,0.568001,0.56828,0.569439,
Generation25,0.573332,0.567652,0.473682,0.498728,0.566356,0.568537,0.56719,0.564718,0.568809,0.569226,0.569047,0.568096,0.401515,0.568892,0.485693,
Generation26,0.56686,0.57303,0.572716,0.573602,0.569387,0.567885,0.56597,0.571638,0.518861,0.574629,0.573677,0.573158,0.568256,0.573216,0.569619,
Generation27,0.57268,0.573399,0.572718,0.571534,0.43197,0.571292,0.505886,0.565657,0.5738,0.571989,0.50965,0.572975,0.492324,0.572701,0.436305,
Generation28,0.524146,0.523079,0.572023,0.572921,0.572883,0.572417,0.573359,0.52635,0.573828,0.554258,0.57267,0.573247,0.572051,0.572308,0.565399,
Generation29,0.572199,0.572294,0.571803,0.524941,0.571733,0.5724,0.571966,0.556047,0.575174,0.572937,0.572185,0.572592,0.574074,0.3764,0.572893,
Generation30,0.562147,0.576307,0.49273,0.569296,0.573368,0.575173,0.576748,0.577624,0.457747,0.57344,0.574742,0.500935,0.572669,0.572919,0.576753,
Generation31,0.575756,0.576563,0.576239,0.575969,0.576945,0.577436,0.433482,0.575625,0.577079,0.575985,0.5756,0.576365,0.575625,0.576357,0.576524,
Generation32,0.57734,0.577663,0.575675,0.576477,0.554019,0.576899,0.577141,0.576962,0.576309,0.57659,0.431594,0.578423,0.576521,0.57756,0.576753,
Generation33,0.577485,0.576336,0.5749,0.57542,0.510314,0.575536,0.576101,0.493334,0.576551,0.576549,0.575485,0.576092,0.499217,0.576202,0.480609,
Generation34,0.575577,0.471221,0.576534,0.446273,0.577708,0.575975,0.575719,0.401486,0.575935,0.575353,0.574465,0.577779,0.577229,0.574399,0.574811,
Generation35,0.532142,0.576584,0.556969,0.577792,0.576888,0.576778,0.482217,0.569037,0.575942,0.490477,0.577712,0.483497,0.575818,0.575884,0.565809,
Generation36,0.574514,0.577043,0.57773,0.574829,0.574501,0.575536,0.576497,0.576256,0.575516,0.577991,0.577134,0.577366,0.51381,0.57514,0.576137,
Generation37,0.576603,0.576599,0.481242,0.576402,0.455476,0.575797,0.577269,0.577119,0.575917,0.517101,0.577164,0.546737,0.575876,0.554578,0.576707,
Generation38,0.577093,0.576283,0.575939,0.578483,0.452208,0.575257,0.576399,0.576161,0.573638,0.483924,0.577326,0.575681,0.513073,0.477348,0.575517,
Generation39,0.578432,0.576018,0.578009,0.577948,0.578295,0.382293,0.508634,0.577974,0.493171,0.575836,0.577018,0.440196,0.575512,0.530788,0.576902,
